           1 -0.170249999      -3.03399992    
           2  -5.87499999E-02  -3.08200002    
           3  -4.94999997E-02  -3.14150000    
           4  -4.74999994E-02  -3.21600008    
           5  -2.62499992E-02  -3.27550006    
           6  -4.07500006E-02  -3.34450006    
           7  -4.94999997E-02  -3.42249990    
           8  -2.74999999E-02  -3.48200011    
           9  -3.29999998E-02  -3.56299996    
          10  -4.30000015E-02  -3.62050009    
          11  -2.34999992E-02  -3.68549991    
          12  -5.02500013E-02  -3.76149988    
          13  -2.44999994E-02  -3.83550000    
          14  -2.82499995E-02  -3.89800000    
          15  -3.92500013E-02  -3.96000004    
          16  -6.12500012E-02  -4.01350021    
          17  -5.57500012E-02  -4.07900000    
          18  -5.17500006E-02  -4.15250015    
          19  -5.87499999E-02  -4.22599983    
          20  -6.65000007E-02  -4.28000021    
          21  -5.09999990E-02  -4.34950018    
          22  -6.77499995E-02  -4.40999985    
          23  -6.37499988E-02  -4.47599983    
          24  -5.37500009E-02  -4.54850006    
          25  -5.07499985E-02  -4.62550020    
          26  -6.80000037E-02  -4.69299984    
          27  -6.52500018E-02  -4.75600004    
          28  -4.50000018E-02  -4.82800007    
          29  -5.20000011E-02  -4.88399982    
          30  -6.80000037E-02  -4.94649982    
          31  -6.04999997E-02  -5.01900005    
          32  -5.72500005E-02  -5.08199978    
          33  -5.67499995E-02  -5.14599991    
          34  -5.40000014E-02  -5.20550013    
          35  -6.62499964E-02  -5.27650023    
          36  -5.49999997E-02  -5.32700014    
          37  -4.12500016E-02  -5.37449980    
          38  -3.62499990E-02  -5.42999983    
          39  -5.75000010E-02  -5.48500013    
          40  -6.27499968E-02  -5.54400015    
          41  -4.72499989E-02  -5.61549997    
          42  -5.55000007E-02  -5.68550014    
          43  -4.42500003E-02  -5.74450016    
          44  -5.64999990E-02  -5.80049992    
          45  -4.60000001E-02  -5.86850023    
          46  -4.74999994E-02  -5.92850018    
          47  -4.50000018E-02  -6.00950003    
          48  -3.22499983E-02  -6.06500006    
          49  -6.47500008E-02  -6.14249992    
          50  -5.60000017E-02  -6.21799994    
          51  -6.12500012E-02  -6.30000019    
          52  -5.49999997E-02  -6.38149977    
          53  -5.05000018E-02  -6.46099997    
          54  -3.92500013E-02  -6.53450012    
          55  -4.62500006E-02  -6.61649990    
          56  -4.37499993E-02  -6.67950010    
          57  -5.55000007E-02  -6.74849987    
          58  -4.32499982E-02  -6.82100010    
          59  -4.47500013E-02  -6.88749981    
          60  -5.72500005E-02  -6.95349979    
          61  -7.00000003E-02  -7.03000021    
          62  -6.62499964E-02  -7.08949995    
          63  -6.82500005E-02  -7.15399981    
          64  -4.89999987E-02  -7.22900009    
          65  -4.10000011E-02  -7.29699993    
          66  -4.85000014E-02  -7.35699987    
          67  -6.25000000E-02  -7.42600012    
          68  -7.45000020E-02  -7.49249983    
          69  -6.15000017E-02  -7.56050014    
          70  -4.94999997E-02  -7.62650013    
          71  -5.27499989E-02  -7.71500015    
          72  -6.02499992E-02  -7.75549984    
          73  -4.12500016E-02  -7.82200003    
          74  -5.79999983E-02  -7.87949991    
          75  -5.95000014E-02  -7.96099997    
          76  -3.05000003E-02  -8.02400017    
          77  -4.97500002E-02  -8.09049988    
          78  -7.24999979E-02  -8.16800022    
          79  -5.02500013E-02  -8.22299957    
          80  -6.70000017E-02  -8.27449989    
          81  -6.17499985E-02  -8.34949970    
