 Iterations, Maximum_Neighbours
          40 ,          84
          80 ,          86
         120 ,          89
         160 ,          96
         200 ,          96
         240 ,         100
         280 ,         102
         320 ,         108
         360 ,         114
         400 ,         115
         440 ,         119
         480 ,         118
         520 ,         122
         560 ,         124
         600 ,         132
         640 ,         136
         680 ,         143
         720 ,         143
         760 ,         133
         800 ,         135
         840 ,         134
         880 ,         131
         920 ,         128
         960 ,         127
        1000 ,         124
        1040 ,         120
        1080 ,         122
        1120 ,         123
        1160 ,         126
        1200 ,         125
        1240 ,         127
        1280 ,         127
        1320 ,         124
        1360 ,         125
        1400 ,         122
        1440 ,         118
        1480 ,         120
        1520 ,         119
        1560 ,         121
        1600 ,         116
        1640 ,         116
        1680 ,         116
        1720 ,         114
        1760 ,         117
        1800 ,         115
        1840 ,         117
        1880 ,         116
        1920 ,         116
        1960 ,         116
        2000 ,         112
        2040 ,         115
        2080 ,         115
        2120 ,         116
        2160 ,         118
        2200 ,         117
        2240 ,         115
        2280 ,         112
        2320 ,         111
        2360 ,         111
        2400 ,         112
        2440 ,         112
        2480 ,         110
        2520 ,         108
        2560 ,         108
        2600 ,         106
        2640 ,         106
        2680 ,         106
        2720 ,         104
        2760 ,         102
        2800 ,         102
        2840 ,         101
        2880 ,         103
        2920 ,         104
        2960 ,         105
        3000 ,         105
        3040 ,         103
        3080 ,         103
        3120 ,         104
        3160 ,         103
        3200 ,         108
        3240 ,         107
        3280 ,         105
        3320 ,         103
        3360 ,         103
        3400 ,         102
        3440 ,         104
        3480 ,         107
        3520 ,         113
        3560 ,         109
        3600 ,         106
        3640 ,         106
        3680 ,         108
        3720 ,         109
        3760 ,         106
        3800 ,         108
        3840 ,         108
        3880 ,         104
        3920 ,         105
        3960 ,         107
        4000 ,         102
        4040 ,         104
        4080 ,         107
        4120 ,         109
        4160 ,         110
        4200 ,         109
        4240 ,         109
        4280 ,         106
        4320 ,         102
        4360 ,         103
        4400 ,         105
        4440 ,         102
        4480 ,         104
        4520 ,         103
        4560 ,         105
        4600 ,         103
        4640 ,         104
        4680 ,         105
        4720 ,         105
        4760 ,         104
        4800 ,         101
        4840 ,          98
        4880 ,          99
        4920 ,         103
        4960 ,         100
        5000 ,         100
        5040 ,          97
        5080 ,          96
        5120 ,          94
        5160 ,          93
        5200 ,          92
        5240 ,          92
        5280 ,          92
        5320 ,          91
        5360 ,          89
        5400 ,          88
        5440 ,          93
        5480 ,          91
        5520 ,          92
        5560 ,          90
        5600 ,          91
        5640 ,          91
        5680 ,          93
        5720 ,          92
        5760 ,          91
        5800 ,          90
        5840 ,          93
        5880 ,          90
        5920 ,          89
        5960 ,          87
        6000 ,          88
        6040 ,          87
        6080 ,          89
        6120 ,          92
        6160 ,          92
        6200 ,          93
        6240 ,          93
        6280 ,          90
        6320 ,          92
        6360 ,          91
        6400 ,          90
        6440 ,          86
        6480 ,          85
        6520 ,          86
        6560 ,          86
        6600 ,          86
        6640 ,          84
        6680 ,          86
        6720 ,          87
        6760 ,          87
        6800 ,          87
        6840 ,          87
        6880 ,          87
        6920 ,          87
        6960 ,          87
        7000 ,          83
        7040 ,          88
        7080 ,          87
        7120 ,          89
        7160 ,          91
        7200 ,          90
        7240 ,          91
        7280 ,          92
        7320 ,          93
        7360 ,          92
        7400 ,          94
        7440 ,          92
        7480 ,          92
        7520 ,          94
        7560 ,          91
        7600 ,          94
        7640 ,          97
        7680 ,         100
        7720 ,          97
        7760 ,          96
        7800 ,          99
        7840 ,         100
        7880 ,          98
        7920 ,          97
        7960 ,         101
        8000 ,          97
        8040 ,          96
        8080 ,          97
        8120 ,          93
        8160 ,          94
        8200 ,          91
        8240 ,          90
        8280 ,          91
        8320 ,          90
        8360 ,          89
        8400 ,          91
        8440 ,          88
        8480 ,          91
        8520 ,          90
        8560 ,          88
        8600 ,          87
        8640 ,          90
        8680 ,          87
        8720 ,          87
        8760 ,          88
        8800 ,          91
        8840 ,          94
        8880 ,          93
        8920 ,          94
        8960 ,          93
        9000 ,          93
        9040 ,          96
        9080 ,          93
        9120 ,          90
        9160 ,          92
        9200 ,          92
        9240 ,          93
        9280 ,          91
        9320 ,          94
        9360 ,          91
        9400 ,          92
        9440 ,          94
        9480 ,          95
        9520 ,          93
        9560 ,          91
        9600 ,          93
        9640 ,          93
        9680 ,          93
        9720 ,          91
        9760 ,          92
        9800 ,          91
        9840 ,          95
        9880 ,          96
        9920 ,          95
        9960 ,          99
       10000 ,         101
       10040 ,         100
       10080 ,         100
       10120 ,          98
       10160 ,          99
       10200 ,         101
       10240 ,         103
       10280 ,         101
       10320 ,          96
       10360 ,          97
       10400 ,          98
       10440 ,          98
       10480 ,          98
       10520 ,          99
       10560 ,         100
       10600 ,         100
       10640 ,          97
       10680 ,          97
       10720 ,          98
       10760 ,          96
       10800 ,          95
       10840 ,          91
       10880 ,          92
       10920 ,          90
       10960 ,          92
       11000 ,          90
       11040 ,          89
       11080 ,          86
       11120 ,          86
       11160 ,          87
       11200 ,          85
       11240 ,          87
       11280 ,          86
       11320 ,          86
       11360 ,          84
       11400 ,          86
       11440 ,          92
       11480 ,          88
       11520 ,          86
       11560 ,          86
       11600 ,          88
       11640 ,          87
       11680 ,          90
       11720 ,          84
       11760 ,          83
       11800 ,          83
       11840 ,          81
       11880 ,          82
       11920 ,          81
       11960 ,          81
       12000 ,          82
       12040 ,          80
       12080 ,          80
       12120 ,          83
       12160 ,          81
       12200 ,          80
       12240 ,          81
       12280 ,          84
       12320 ,          82
       12360 ,          83
       12400 ,          81
       12440 ,          83
       12480 ,          82
       12520 ,          84
       12560 ,          84
       12600 ,          82
       12640 ,          83
       12680 ,          83
       12720 ,          82
       12760 ,          84
       12800 ,          82
       12840 ,          85
       12880 ,          86
       12920 ,          84
       12960 ,          85
       13000 ,          84
       13040 ,          84
       13080 ,          85
       13120 ,          85
       13160 ,          85
       13200 ,          85
       13240 ,          85
       13280 ,          85
       13320 ,          84
       13360 ,          85
       13400 ,          84
       13440 ,          85
       13480 ,          88
       13520 ,          89
       13560 ,          85
       13600 ,          86
       13640 ,          85
       13680 ,          87
       13720 ,          91
       13760 ,          91
       13800 ,          89
       13840 ,          91
       13880 ,          90
       13920 ,          89
       13960 ,          88
       14000 ,          88
       14040 ,          88
       14080 ,          88
       14120 ,          89
       14160 ,          91
       14200 ,          97
       14240 ,         102
       14280 ,         101
       14320 ,         104
       14360 ,         104
       14400 ,         107
       14440 ,         106
       14480 ,         106
       14520 ,         107
       14560 ,         103
       14600 ,         106
       14640 ,         104
       14680 ,         105
       14720 ,         102
       14760 ,         104
       14800 ,         103
       14840 ,         102
       14880 ,         100
       14920 ,         102
       14960 ,         104
       15000 ,         105
       15040 ,         100
       15080 ,          99
       15120 ,          99
       15160 ,          99
       15200 ,          97
       15240 ,         100
       15280 ,          97
       15320 ,         100
       15360 ,          97
       15400 ,          95
       15440 ,          95
       15480 ,          95
       15520 ,          94
       15560 ,          94
       15600 ,          92
       15640 ,          93
       15680 ,          90
       15720 ,          95
       15760 ,          91
       15800 ,          90
       15840 ,          93
       15880 ,          92
       15920 ,          90
       15960 ,          88
       16000 ,          87
       16040 ,          87
       16080 ,          84
       16120 ,          86
       16160 ,          87
       16200 ,          86
       16240 ,          84
       16280 ,          83
       16320 ,          83
       16360 ,          83
       16400 ,          84
       16440 ,          84
       16480 ,          83
       16520 ,          80
       16560 ,          82
       16600 ,          82
       16640 ,          81
       16680 ,          80
       16720 ,          83
       16760 ,          82
       16800 ,          80
       16840 ,          83
       16880 ,          81
       16920 ,          81
       16960 ,          83
