 i, No_of_Particles
           1 ,  0.31600000000000000     
           2 ,   2.2475999999999998     
           3 ,   5.8456000000000001     
           4 ,   11.137200000000000     
           5 ,   17.554400000000001     
           6 ,   24.781600000000001     
           7 ,   32.618000000000002     
           8 ,   40.524000000000001     
           9 ,   48.116399999999999     
          10 ,   55.085200000000000     
          11 ,   60.770400000000002     
          12 ,   65.441999999999993     
          13 ,   68.337999999999994     
          14 ,   70.061199999999999     
          15 ,   70.025999999999996     
          16 ,   69.368799999999993     
          17 ,   66.930400000000006     
          18 ,   63.592799999999997     
          19 ,   59.296399999999998     
          20 ,   54.151200000000003     
          21 ,   48.978400000000001     
          22 ,   44.049999999999997     
          23 ,   38.861199999999997     
          24 ,   33.712800000000001     
          25 ,   28.557200000000002     
          26 ,   24.011600000000001     
          27 ,   20.213999999999999     
          28 ,   16.734400000000001     
          29 ,   13.531200000000000     
          30 ,   10.752800000000001     
          31 ,   8.5592000000000006     
          32 ,   6.6059999999999999     
          33 ,   5.1348000000000003     
          34 ,   3.9116000000000000     
          35 ,   2.9260000000000002     
          36 ,   2.2288000000000001     
          37 ,   1.6759999999999999     
          38 ,   1.1728000000000001     
          39 ,  0.82120000000000004     
          40 ,  0.57199999999999995     
          41 ,  0.41560000000000002     
          42 ,  0.29999999999999999     
          43 ,  0.18759999999999999     
          44 ,  0.12280000000000001     
          45 ,   9.0399999999999994E-002
          46 ,   5.2400000000000002E-002
          47 ,   3.3599999999999998E-002
          48 ,   1.9199999999999998E-002
          49 ,   1.4800000000000001E-002
          50 ,   9.1999999999999998E-003
          51 ,   0.0000000000000000     
          52 ,   0.0000000000000000     
