# r  g(r)
   0.500000E-01   0.000000E+00
   0.150000E+00   0.000000E+00
   0.250000E+00   0.000000E+00
   0.350000E+00   0.000000E+00
   0.450000E+00   0.000000E+00
   0.550000E+00   0.000000E+00
   0.650000E+00   0.000000E+00
   0.750000E+00   0.000000E+00
   0.850000E+00   0.831224E-04
   0.950000E+00   0.333693E+00
   0.105000E+01   0.220717E+01
   0.115000E+01   0.266890E+01
   0.125000E+01   0.212557E+01
   0.135000E+01   0.166794E+01
   0.145000E+01   0.139738E+01
   0.155000E+01   0.124906E+01
   0.165000E+01   0.117664E+01
   0.175000E+01   0.114621E+01
   0.185000E+01   0.114874E+01
   0.195000E+01   0.117335E+01
   0.205000E+01   0.120714E+01
   0.215000E+01   0.122146E+01
   0.225000E+01   0.120717E+01
   0.235000E+01   0.117992E+01
   0.245000E+01   0.115001E+01
   0.255000E+01   0.112705E+01
   0.265000E+01   0.111090E+01
   0.275000E+01   0.110083E+01
   0.285000E+01   0.109203E+01
   0.295000E+01   0.108842E+01
   0.305000E+01   0.108439E+01
   0.315000E+01   0.107994E+01
   0.325000E+01   0.107533E+01
   0.335000E+01   0.106826E+01
   0.345000E+01   0.106271E+01
   0.355000E+01   0.105639E+01
   0.365000E+01   0.105206E+01
   0.375000E+01   0.104655E+01
   0.385000E+01   0.104339E+01
   0.395000E+01   0.103988E+01
   0.405000E+01   0.103770E+01
   0.415000E+01   0.103446E+01
   0.425000E+01   0.103148E+01
   0.435000E+01   0.102854E+01
   0.445000E+01   0.102655E+01
   0.455000E+01   0.102402E+01
   0.465000E+01   0.102079E+01
   0.475000E+01   0.101906E+01
   0.485000E+01   0.101736E+01
   0.495000E+01   0.101621E+01
   0.505000E+01   0.101447E+01
   0.515000E+01   0.101238E+01
   0.525000E+01   0.101155E+01
   0.535000E+01   0.100989E+01
   0.545000E+01   0.100805E+01
   0.555000E+01   0.100746E+01
   0.565000E+01   0.100675E+01
   0.575000E+01   0.100525E+01
   0.585000E+01   0.100412E+01
   0.595000E+01   0.100335E+01
   0.605000E+01   0.100256E+01
   0.615000E+01   0.100228E+01
   0.625000E+01   0.100156E+01
   0.635000E+01   0.100131E+01
   0.645000E+01   0.100037E+01
   0.655000E+01   0.999848E+00
   0.665000E+01   0.999016E+00
   0.675000E+01   0.999433E+00
   0.685000E+01   0.998541E+00
   0.695000E+01   0.998190E+00
   0.705000E+01   0.996958E+00
   0.715000E+01   0.997085E+00
   0.725000E+01   0.997037E+00
   0.735000E+01   0.997023E+00
   0.745000E+01   0.996397E+00
   0.755000E+01   0.996328E+00
   0.765000E+01   0.996086E+00
   0.775000E+01   0.995794E+00
   0.785000E+01   0.995366E+00
   0.795000E+01   0.994936E+00
   0.805000E+01   0.995336E+00
   0.815000E+01   0.994754E+00
   0.825000E+01   0.994904E+00
   0.835000E+01   0.995030E+00
   0.845000E+01   0.994357E+00
   0.855000E+01   0.994330E+00
   0.865000E+01   0.994114E+00
   0.875000E+01   0.994074E+00
   0.885000E+01   0.993697E+00
   0.895000E+01   0.993517E+00
   0.905000E+01   0.993449E+00
   0.915000E+01   0.993370E+00
   0.925000E+01   0.993195E+00
   0.935000E+01   0.993200E+00
   0.945000E+01   0.993056E+00
   0.955000E+01   0.993091E+00
   0.965000E+01   0.992818E+00
   0.975000E+01   0.992774E+00
   0.985000E+01   0.992693E+00
   0.995000E+01   0.992439E+00
